,count,mean,std,min,25%,50%,75%,max
5,1993.0,0.0576116407425991,0.12693488711633352,0.0,0.01,0.02,0.05,1.0
6,1993.0,0.46343702960361266,0.16374715477342866,0.0,0.35,0.44,0.54,1.0
7,1993.0,0.17922729553437025,0.2528702800482655,0.0,0.02,0.06,0.23,1.0
8,1993.0,0.7539839438033116,0.24380740749801771,0.0,0.63,0.85,0.94,1.0
9,1993.0,0.15375313597591575,0.20890507075174897,0.0,0.04,0.07,0.17,1.0
10,1993.0,0.14408931259407928,0.23253057416793732,0.0,0.01,0.04,0.16,1.0
11,1993.0,0.42420973406924234,0.15523427742974832,0.0,0.34,0.4,0.47,1.0
12,1993.0,0.4939136979427999,0.14358412929975986,0.0,0.41,0.48,0.54,1.0
13,1993.0,0.3362970396387356,0.1665397189508251,0.0,0.25,0.29,0.36,1.0
14,1993.0,0.4230858003010537,0.17919599880585046,0.0,0.3,0.42,0.53,1.0
15,1993.0,0.06410436527847466,0.12828030438059834,0.0,0.0,0.03,0.07,1.0
16,1993.0,0.6966181635725038,0.4446484591451092,0.0,0.0,1.0,1.0,1.0
17,1993.0,0.36125940792774713,0.20932687453996285,0.0,0.2,0.32,0.49,1.0
18,1993.0,0.558314099347717,0.18281974709152893,0.0,0.44,0.56,0.69,1.0
19,1993.0,0.29154039136979426,0.2041546029529456,0.0,0.16,0.23,0.37,1.0
20,1993.0,0.49578023080782735,0.1780666639711605,0.0,0.37,0.48,0.62,1.0
21,1993.0,0.4710436527847466,0.17361591096227588,0.0,0.35,0.47,0.58,1.0
22,1993.0,0.3175464124435524,0.22195089496898773,0.0,0.14,0.26,0.44,1.0
23,1993.0,0.47924234821876566,0.16760562207488627,0.0,0.36,0.47,0.58,1.0
24,1993.0,0.37580531861515304,0.19822370387753088,0.0,0.23,0.33,0.48,1.0
25,1993.0,0.3503361766181636,0.1911183987747748,0.0,0.22,0.3,0.43,1.0
26,1993.0,0.36807325639739086,0.18684793081348294,0.0,0.24,0.32,0.44,1.0
